ZONA,COBROS (RD$ MM),MES,AÑO
Zona 1 - Distrito,1264.111907,Enero,2017
Zona 2 - San Cristóbal,528.8639234,Enero,2017
Zona 3 - Baní,112.7412071,Enero,2017
Zona 4 - San Juan,56.4451984,Enero,2017
Zona 5 - Barahona,61.1905163,Enero,2017
Zona 1 - Distrito,1336.837755,Febrero,2017
Zona 2 - San Cristóbal,548.8461603,Febrero,2017
Zona 3 - Baní,129.510443,Febrero,2017
Zona 4 - San Juan,52.8134115,Febrero,2017
Zona 5 - Barahona,80.2451368,Febrero,2017
Zona 1 - Distrito,1425.835626,Marzo,2017
Zona 2 - San Cristóbal,670.117274,Marzo,2017
Zona 3 - Baní,155.7433571,Marzo,2017
Zona 4 - San Juan,62.3731084,Marzo,2017
Zona 5 - Barahona,82.4778115,Marzo,2017
Zona 1 - Distrito,1346.830769,Abril,2017
Zona 2 - San Cristóbal,614.6916375,Abril,2017
Zona 3 - Baní,141.3424642,Abril,2017
Zona 4 - San Juan,60.1383636,Abril,2017
Zona 5 - Barahona,79.2510354,Abril,2017
Zona 1 - Distrito,1446.875009,Mayo,2017
Zona 2 - San Cristóbal,647.7234086,Mayo,2017
Zona 3 - Baní,141.0347006,Mayo,2017
Zona 4 - San Juan,61.6278096,Mayo,2017
Zona 5 - Barahona,86.4336601,Mayo,2017
Zona 1 - Distrito,1479.494079,Junio,2017
Zona 2 - San Cristóbal,652.2082752,Junio,2017
Zona 3 - Baní,144.8429769,Junio,2017
Zona 4 - San Juan,62.7902924,Junio,2017
Zona 5 - Barahona,85.8172365,Junio,2017
Zona 1 - Distrito,1606.670593,Julio,2017
Zona 2 - San Cristóbal,685.6770213,Julio,2017
Zona 3 - Baní,142.8508714,Julio,2017
Zona 4 - San Juan,65.4805486,Julio,2017
Zona 5 - Barahona,83.0085575,Julio,2017
Zona 1 - Distrito,1661.147735,Agosto,2017
Zona 2 - San Cristóbal,708.0884542,Agosto,2017
Zona 3 - Baní,159.7127744,Agosto,2017
Zona 4 - San Juan,68.6500812,Agosto,2017
Zona 5 - Barahona,81.8281829,Agosto,2017
Zona 1 - Distrito,1631.540344,Septiembre,2017
Zona 2 - San Cristóbal,735.5548606,Septiembre,2017
Zona 3 - Baní,163.6058966,Septiembre,2017
Zona 4 - San Juan,73.4265966,Septiembre,2017
Zona 5 - Barahona,91.5912302,Septiembre,2017
Zona 1 - Distrito,1662.805629,Octubre,2017
Zona 2 - San Cristóbal,776.6236573,Octubre,2017
Zona 3 - Baní,165.3016922,Octubre,2017
Zona 4 - San Juan,74.5352334,Octubre,2017
Zona 5 - Barahona,93.3925715,Octubre,2017
Zona 1 - Distrito,1599.645944,Noviembre,2017
Zona 2 - San Cristóbal,708.010145,Noviembre,2017
Zona 3 - Baní,157.8011581,Noviembre,2017
Zona 4 - San Juan,67.5471153,Noviembre,2017
Zona 5 - Barahona,87.7388209,Noviembre,2017
Zona 1 - Distrito,1591.825626,Diciembre,2017
Zona 2 - San Cristóbal,678.0680567,Diciembre,2017
Zona 3 - Baní,144.400028,Diciembre,2017
Zona 4 - San Juan,66.0810938,Diciembre,2017
Zona 5 - Barahona,86.5336334,Diciembre,2017
Zona 1 - Distrito,1312.610072,Enero,2018
Zona 2 - San Cristóbal,589.6664755,Enero,2018
Zona 3 - Baní,119.6191233,Enero,2018
Zona 4 - San Juan,51.9641077,Enero,2018
Zona 5 - Barahona,53.1591219,Enero,2018
Zona 1 - Distrito,1316.073594,Febrero,2018
Zona 2 - San Cristóbal,637.2264713,Febrero,2018
Zona 3 - Baní,140.4608546,Febrero,2018
Zona 4 - San Juan,62.4187421,Febrero,2018
Zona 5 - Barahona,84.3483816,Febrero,2018
Zona 1 - Distrito,1418.724305,Marzo,2018
Zona 2 - San Cristóbal,710.8396762,Marzo,2018
Zona 3 - Baní,161.3539104,Marzo,2018
Zona 4 - San Juan,65.8205369,Marzo,2018
Zona 5 - Barahona,88.1260196,Marzo,2018
Zona 1 - Distrito,1274.703985,Abril,2018
Zona 2 - San Cristóbal,636.4852906,Abril,2018
Zona 3 - Baní,147.3873807,Abril,2018
Zona 4 - San Juan,58.1093386,Abril,2018
Zona 5 - Barahona,82.5708801,Abril,2018
Zona 1 - Distrito,1525.877517,Mayo,2018
Zona 2 - San Cristóbal,717.1052369,Mayo,2018
Zona 3 - Baní,169.816531,Mayo,2018
Zona 4 - San Juan,69.1332724,Mayo,2018
Zona 5 - Barahona,93.6352506,Mayo,2018
Zona 1 - Distrito,1620.327839,Junio,2018
Zona 2 - San Cristóbal,773.6714821,Junio,2018
Zona 3 - Baní,171.5971907,Junio,2018
Zona 4 - San Juan,70.5454986,Junio,2018
Zona 5 - Barahona,96.8195828,Junio,2018
Zona 1 - Distrito,1726.725891,Julio,2018
Zona 2 - San Cristóbal,779.6350102,Julio,2018
Zona 3 - Baní,171.7639187,Julio,2018
Zona 4 - San Juan,73.6065267,Julio,2018
Zona 5 - Barahona,98.7380509,Julio,2018
Zona 1 - Distrito,1733.733409,Agosto,2018
Zona 2 - San Cristóbal,832.5814498,Agosto,2018
Zona 3 - Baní,176.9013977,Agosto,2018
Zona 4 - San Juan,76.4643296,Agosto,2018
Zona 5 - Barahona,103.9495877,Agosto,2018
Zona 1 - Distrito,1641.043494,Septiembre,2018
Zona 2 - San Cristóbal,777.1183511,Septiembre,2018
Zona 3 - Baní,175.4485669,Septiembre,2018
Zona 4 - San Juan,73.0518034,Septiembre,2018
Zona 5 - Barahona,98.7718269,Septiembre,2018
Zona 1 - Distrito,1735.759367,Octubre,2018
Zona 2 - San Cristóbal,883.9722169,Octubre,2018
Zona 3 - Baní,186.9266862,Octubre,2018
Zona 4 - San Juan,76.9990612,Octubre,2018
Zona 5 - Barahona,104.4445764,Octubre,2018
Zona 1 - Distrito,1563.265948,Noviembre,2018
Zona 2 - San Cristóbal,782.4708908,Noviembre,2018
Zona 3 - Baní,165.8034864,Noviembre,2018
Zona 4 - San Juan,68.890438,Noviembre,2018
Zona 5 - Barahona,95.5022215,Noviembre,2018
Zona 1 - Distrito,1627.626003,Diciembre,2018
Zona 2 - San Cristóbal,708.9011237,Diciembre,2018
Zona 3 - Baní,151.1313478,Diciembre,2018
Zona 4 - San Juan,65.9072429,Diciembre,2018
